Вакансия,Зарплата,Местоположение,Описание
Дизайнер интерьера ландшафта,60 000 руб.,Город не указан,"Ключевые навыки: 3D Ceramic. Раскладка керамической плитки,ламината, обоев,паркета, паркетной доски.(3D-визуализация ) AutoCAD 3d max V-Ray Творческое мышление Умение принимать решения Ведение перегов..."
"Организатор, креатор,  дизайнер",40 000 руб.,Город не указан,"Привет! Рада знакомству! Я разработчик тематических вечеринок, креатор идей и их воплощений от лекций до крупных тематических мероприятий. Пишу сценарии для мероприятий, разрабатываю их дизайн и оформ..."
Дизайнер сайтов на Tilda,30 000 руб.,Город не указан,"Моделирование, рисование, создание и написание сайтов на Tilda, знание Figma и иллюстраторов"
Графический дизайнер,30 000 руб.,Город не указан,Ключевые навыки: Ведение групп в социальных сетях Adobe Photoshop Adobe Illustrator Наполнение контентом Социальные сети Графический дизайн Пользователь ПК Продажи Microsoft office Adobe InDesign Tild...
Дизайнер - художник,15 000 руб.,Город не указан,"Я художник-дизайнер из Беларуси в поиске удалённой работы. - Владею Photoshop, СorelDRAW и несколькими другими графическими редакторами; есть небольшой опыт работы с анимацией, Adobe After Effects, бы..."
Дизайнер,25 000 руб.,Город не указан,"Добрый день! Меня зовут Фот Дамир.  Обладаю опытом допечатной подготовки и дизайна свыше 4 лет. Высокая концентрация внимания, усидчивость, аккуратность, внимательность, пунктуальность, развитое логич..."
Графический дизайнер,60 000 руб.,Город не указан,"Отличное владение програм: Illustrator, InDesign, Photoshop, After Effects.  Создание контента для соцсетей (баннеры, фото, иконки).  Обработка и создание фотографий. Создание печатной продукции и под..."
Графический дизайнер,40 000 руб.,Город не указан,"уверенный пользователь Coral DRAW///банеры, логотипы, работа с фото, буклеты......"
Дизайнер,40 000 руб.,Город не указан,"Ключевые знания и навыки: Дизайн печатной продукции различных типов; Разработка фирменного стиля, логотипа; Профессиональное знание графических программ Adobe Photoshop. Креативность, чувство цвета и..."
Web дизайнер,50 000 руб.,Город не указан,"Образование и курсы: Образование – неоконченное высшее КрасГАУ, специальность - прикладная информатика в экономике Май 2022 – по настоящее время являюсь студентом годового курса «UX/UI Дизайнер» от Sk..."
Нарративный дизайнер,50 000 руб.,Город не указан,"Ищу возможность реализоваться в работе  с текстом. Могу писать сценарии для визуальных новелл и компьютерных игр. Могу работать в различных сюжетно-сценарных жанрах . Опыта работы больше 2-х лет, рабо..."
"Веб-дизайнер, UX/UI дизайнер",50 000 руб.,Город не указан,"Я - начинающий UX/UI дизайнер. Я выбрал эту сферу потому что, хочу предлагать свои уникальные решения в дизайне интерфейсов и улучшать пользовательский опыт потребителей продукта. Уверен что постоянно..."
Ретушер - дизайнер,20 000 руб.,Город не указан,"Немного о себе – пользуюсь фотошопом лет 5 точно, а то и больше. Пером фотошопа владею отлично, умею пользоваться масками, слоями наложения, кривыми, частотным разложением, методом Dodge and Burn и ещ..."
Веб-дизайнер,50 000 руб.,Город не указан,"Долгий период времени работал в маркетинге и Т/П, последнее время активно изучаю Фигму, в частности веб-дизайн."
Дизайнер для оформления карточек,3 000 руб.,Город не указан,"3 года работы в фотосалоне , входили многочисленные задачи.  Обработка фото , создание логотипа, шаблонов, визиток , постеров и т.п.  Знания фотошопа от А до Я  Умение пользоваться профессиональным фо..."
Веб-дизайнер / Верстальщик (Tilda) (удаленная работа),50 000 руб.,Город не указан,"Начинающий специалист. Создаю сайты на  Tilda.  Адаптирую сайты под мобильную, планшетную версии. Создание дизайна сайта в редакторе Figma Верстка сайта в конструкторе Тильда Занимаюсь сайтами 2 года...."
Дизайнер,40 000 руб.,Город не указан,"Босых Александр Валерьевич (25.05.1984) Высшее образование:  Глазовский государственный педагогический институт им. В.Г. Короленко, Глазов. Факультет математики и информатики, Математическое обеспечен..."
Графический дизайнер,50 000 руб.,Город не указан,"ОБРАЗОВАНИЕ: СПГБПОУ «Академия управления городской средой, градостроительства и печати» Архитектура  2018-2022 ЧТО Я УМЕЮ:   —  разработка логотипа  —  разработка фирменного стиля —  полиграфия  —  д..."
UX/UI дизайнер,30 000 руб.,Город не указан,Опыт работы - копирайт / SEOкопирайт / рерайт (в области строительные материалы); - конспектирование и структурирование информации; - заполнение контентом сайта через CMS Opencart; - разработка презен...
"3д моделирование, визуализация, VEB-дизайн, видеомонтаж, компьютерная графика",5 000 руб.,Город не указан,"Здравствуйте. Работаю в 3ds MAX-2021 / Corona-5, Постобработка в Photoshop-2020. Очень хочется работать в серьёзной команде. Хотя бы ""на подхвате"". Не пугайтесь, что я пенсионер. Работу люблю, для мен..."
Дизайнер,40 000 руб.,Город не указан,Обо мне Редактировать Портфолио (PDF): https://yadi.sk/i/TIkNwc7-eRjVLA Работы на Behance: https://www.behance.net/koboku Готов к бесплатной стажировке - Хорошо разбираюсь во многих графических редакт...
Графический дизайнер,10 000 руб.,Город не указан,Добрый день! Рисую в Adobe illustrator. Хотела бы попробовать работать в подчинении или помощником графического дизайнера. Проживаю в Италии. Поэтому рассматриваю удаленную вакансию. Ссылка на мое пор...
Дизайнер,85 000 руб.,Город не указан,"Web-дизайнер, графический дизайнер Дата рождения: 24.12.1985 Занятость: частичная занятость, полная занятость График работы: удаленная работа Опыт работы — 14 лет 8 месяцев Индивидуальное предпринимат..."
Графический дизайнер,30 000 руб.,Город не указан,"Графический дизайнер   Навыки: Владею adobe photoshop Владею adobe illustrator Знаю основы композиции Разрабатываю логотипы, айдентику, фирменный стиль, рекламные макеты (листовки, буклеты, брошюры) П..."
Веб-дизайнер,30 000 руб.,Город не указан,"Soft skills: - Эмпатия - Работа в команде  - Самостоятельность - Упорство Hard skills: - Композиция - Колористика  - Типографика - Figma (components, autolayout, variants, design system) - Tilda - Юза..."
Дизайнер,30 000 руб.,Город не указан,"Навыки Опыт работы в графических редакторах: ● Adobe Photoshop ● Corel Draw ● Figma ● Adobe Illustrator Владею навыками академического рисунка, графики, пейзажа, иллюстрации. Делал личные проекты в Bl..."
"Графический дизайнер, веб-программист",15 000 руб.,Город не указан,Более 25 лет опыта в области графического дизайна и веб-программирования. Профессиональное владение всеми значимыми пакетами по работе с векторной и растровой графикой + интеграция в веб-проекты. 3D-в...
Веб-дизайнер,15 000 руб.,Город не указан,"- высшее техническое + курсы Нетологии по специальности Веб-дизайн - английский разговорный - навык рисования от руки - владение Figma - пакеты 3D моделирования: SketchUp, Kompas 3D - есть реализованн..."
Веб-дизайнер,40 000 руб.,Город не указан,"Занимаюсь созданием сайтов на Tilda (работа в зеро-блоках и анимация разных видов, адаптивный дизайн), UI/UX, работаю на платформе Figma (дизайн, создание прототипа сайта). Создаю одностраничные сайты..."
"Дизайнер одежды, стилист, художник по принтам",30 000 руб.,Город не указан,"образование: Ургаху специальность: дизайнер одежды  работала в компании униформы, создавала принты для школьной формы, одежду , а именно фартуки и кители для кондитеров, официантов 2 месяца  работаю с..."
UX/UI дизайнер,60 000 руб.,Город не указан,Я разрабатываю максимально интуитивно понятные макеты страниц с учетом потребностей пользователей. Совершенствую свои soft- и hard-скиллы и помогаю людям решать их задачи при помощи создания на вид пр...
Дизайнер,100 000 руб.,Город не указан,"Быстро и креативно сделаю дизайн лендинга, строим, графический дизан"
Графический дизайнер,20 000 руб.,Город не указан,Обо мне: - Ответственная. - Всегда следую новым трендам. - Стремлюсь к улучшению собственных навыков. - Легко воспринимаю критики. - Стрессоустойчивая. Успешно окончила курсы: Графический дизайнер (4...
Web-дизайнер,30 000 руб.,Город не указан,"Здравствуйте! Я Web-дизайнер. Владею программами: Figma, Adobe Illustrator, Adobe Photoshop, Adobe InDesign, Tilda, также Blender. Мои навыки:  Web-дизайн, UI-дизайн, графический дизайн, дизайн реклам..."
Дизайнер-художник,10 000 руб.,Город не указан,"Цель: Получение должности художника в определённых сферах, в целях саморазвития и получения опыта от работы •	Художник-иллюстратор •	Digital Artist •	Дизайнер-художник •	Концепт-художник Образование:..."
Дизайнер,50 000 руб.,Город не указан,Опыт работы 2 года 1 месяц Август 2020 — по настоящее время  Фриланс Дизайнер -разработка инфографики -разработка логотипов -разработка фирменного стиля -разработка упаковки -разработка плакатов Июнь...
Дизайнер конструктор технолог,50 000 руб.,Город не указан,"Сразу к делу. Работаю шестой год в проектировании корпусной мебели и торгового оборудования. Проекты делаю в базис мебельщик. Умею еще работать в 3ds max с переменным успехом, autocad, photoshop, core..."
Дизайнер презентаций,110 000 руб.,Город не указан,"Профессиональные навыки: Adobe Illustrator - для создания и правок иллюстраций Adobe Photoshop - для обтравки фотографий Exel (или гугл таблицы) - продвинутый пользователь. Создание и чтение таблиц, г..."
Дизайнер-проектировщик,20 000 руб.,Город не указан,"Являюсь комплексным специалистом в сфере проектирования, эксплуатации и дизайна. Владею различными пакетами программ (Autodesk, Adobe и иные) и имею опыт работы с проектами различной степени сложности..."
Графический дизайнер,50 000 руб.,Город не указан,"Начинающий графический дизайнер. Занимаюсь разработкой бренд-дизайна, а так же оформляю социальные сети, презентации, рисую иллюстрации.  В 2020 году начала свой путь в дизайн с иллюстраций и стоковой..."
Графический дизайнер,19 999 руб.,Город не указан,Здравствуйте. Меня зовут Евгений. ✅ Работаю c любыми изображениями в любых форматах. Превращаю растровое изображение в векторную графику . ✅ Профессионально владею Фотошопом и программами для работы с...
"Архитектор, дизайнер интерьера, дизайнер ландшафтный",45 000 руб.,Город не указан,"У меня более десяти лет опыта в этой сфере. Могу работать в таких программах, как Autocad, 3ds Max, V-ray, Corona renderer, Archicad, PS, Lumion. Я работал с местными и иностранными работниками в Баку..."
Дизайнер-верстальщик,60 000 руб.,Город не указан,"Образование: высшее 2000 Российский Институт Социальных Связей (RISC), Москва финансовый менеджмент, бакалавр Место рождения: г. Москва Дата рождения 1.01.1979г., 43 года Русский  –  родной Английский..."
Веб-Дизайнер,30 000 руб.,Город не указан,"Нет опыта. Владею Photoshop, figma, wordpress,tilda. Ответственный,работоспособный, умею работать в команде. Закончил НЕТК по специальности ""Информационные Технологии""."
Веб-Дизайнер,30 000 руб.,Город не указан,"Приветствую! Владею такими программами: Figma, Illustrator, Photoshop, 3ds-max, MS Word, MS Access, MS Excel, Tilda, Ukit После универа крайне заинтересован в работе, ищу точку откуда возьму старт в с..."
Веб-дизайнер,3 500 руб.,Город не указан,Я Катерина и я начинающий веб-дизайнер. Создаю сайты в Figma. Делаю быстро и качественно
Веб-дизайнер,30 000 руб.,Город не указан,"Добрый день. Я закончила на курс ""Специалист по созданию сайтов""  (лендинг, многостраничный сайт, интернет - магазин). Основные знания, полученные на курсе: - Работа в Figma, (создание прототипа сайта..."
Компьютерный дизайнер,20 000 руб.,Город не указан,"Работала в рекламном агентстве дизайнером и в издательстве руководителем дизайнерского отдела. Разработала около 4000 бесшовных узоров и текстур, использовала их в дизайне печатных изданий и в оформле..."
Web-дизайнер,40 000 руб.,Город не указан,Здравствуйте! Меня зовут Анастасия. Я начинающий веб-дизайнер. Уверенно владею программой Figma. Так же хорошо пользуюсь Adobe Photoshop и Adobe Illustrator.  Буду рада сотрудничать  с любыми людьми и...
Дизайнер,35 000 руб.,Город не указан,"Цель Соискание должности дизайнера, ретушера. Работа дистанционно .  Образование:  1995-2000 гг   Омский Государственный Институт Сервиса.                           Специальность: дизайнер.  2015 г Эк..."
Веб-дизайнер,27 000 руб.,Город не указан,"Добрый день! Проходила курсы по веб-дизайну, был опыт в подработке копирайтером. Соответсвенно сейчас ищу работу в данных сферах. Более подробное резюме могу направить лично, также как и скромное порт..."
Дизайнер иллюстратор,30 000 руб.,Город не указан,"Есть опыт работы дизайнером полиграфии. На данный момент работаю с двумя фирмами. Для них подготавливала макеты визиток, баннеры, дипломы. По запросу вышлю все имеющиеся наработки или выполню тестовое..."
Web-дизайнер/Дизайнер сайтов на Tilda,30 000 руб.,Город не указан,"Занимаюсь веб-дизайном около двух лет, преимущественно создаю сайты на Tilda. Проходил курсы от школы Tilda. Владею: Figma, Photoshop, illustrator, Tilda."
Графический дизайнер,30 000 руб.,Город не указан,"Работаю графическим дизайнером около 2-х лет. Уверенно владею программами: Adobe Photoshop / Adobe Illustrator / Figma.  Составляю макеты любой сложности, всегда креативно подхожу к каждому проекту. П..."
Графический дизайнер,50 000 руб.,Город не указан,"Здравствуйте!  Ищу компанию, которой требуется графический дизайнер. Меня зовут Мария. Специализируюсь на разработке рекламных макетов, баннеров, макетов полиграфии. Разработка логотипов, брендинг. Оп..."
Веб-дизайнер,30 000 руб.,Город не указан,"Я Ксения, мне 23. У меня есть навыки работы в графических программах (Adobe Photoshop, Figma, Adobe Illustrator), знание английского языка. Стремлюсь получить реальный опыт работы, есть большое желани..."
Дизайнер,20 000 руб.,Город не указан,Опыт работы 7 лет 3 месяца Редактировать Декабрь 2020 — по настоящее время 1 год 4 месяца Индивидуальное предпринимательство / частная практика / фриланс Преподаватель по раннему эстетическому развити...
Веб-дизайнер,20 000 руб.,Город не указан,"Студент,неоконченное неоконченное среднее образование. Имею опыт в разработке сайтов с помощью различных конструкторов; занимаюсь дизайном полиграфии;имею большие навыки работы с программами photoshop..."
Веб-дизайнер,45 000 руб.,Город не указан,"В веб-дизайне относительно недавно, но очень хочу расти и развиваться в данной сфере. прошла обучение у частных преподавателей.  Уже владею  такими программами как FIGMA, ADOBE Illustrator, Photoshop...."
Веб-дизайнер,40 000 руб.,Город не указан,"Занимаюсь графическим дизайном и веб дизайном, Создание сайтов на платформе тильда. Основные инструменты Figma, photoshop. готова развиваться ,обучаться.  Ответственная ,коммуникабельная , люблю то ,ч..."
Графический дизайнер,25 000 руб.,Город не указан,"Я занимаюсь разработкой логотипов, обложек ВК, иконок, визиток, лендингов, дизайн сайта, иллюстраций, баннеров, карточек для маркет-плейсов. Работаю в Ps, Ai, LrC, Figma, PowerPoint. Опыт работы в гра..."
UX/UI дизайнер интерфейсов,188 000 руб.,Город не указан,"Я дизайнер ux/ui. Занимаюсь проектированием и дизайном интерфейсов сервисов, сайтов, приложений, программ Некоторые работы можно увидеть здесь: https://www.behance.net/elenapliner Работаю на попроектн..."
Дизайнер одежды,50 000 руб.,Город не указан,"Дизайнер одежды Подбор аналогов, разработка эскизов и технических рисунков. Создание лекал, макетов, полный отшив коллекции. Подбор аксессуаров и показ коллекции (диплом с отличием). Творческая личнос..."
Графический дизайнер / иллюстратор,30 000 руб.,Город не указан,"Есть опыт работы дизайнером на фрилансе, занимаюсь принтами для одежды, отрисовкой иллюстраций в векторе, полиграфией - визитки, баннеры, листовки, плакаты, пригласительные и тд, созданием логотипов и..."
Дизайнер,35 000 руб.,Город не указан,"Здравствуйте! Меня зовут Любовь, я графический дизайнер, художник, иллюстратор. Специализируюсь на создании: • Логотипов • Фирменного стиля (айдентики) • Полиграфической и сувенирной продукции • Векто..."
Веб-дизайнер,40 000 руб.,Город не указан,Привет! Меня зовут Саша. Предыдущие 10 лет я работал в сфере продаж.  В данный момент активно изучаю веб-дизайн и вижу продолжение своего профессионального пути в данном направлении. Мой уровень в диз...
Веб-дизайнер,50 000 руб.,Город не указан,"Здравствуйте! Меня зовут Лариса. Я сертифицированный дизайнер. Оформлена как самозанятый в налоговом органе. Моя специализация: Дизайн, разработка сайтов. У меня также есть навыки рисования от руки, и..."
Графический дизайнер,30 000 руб.,Город не указан,"начинающий графический дизайнер из города Сочи. Прошла стажировку в digital агентстве Smart, где в настоящее занимаюсь некоторыми небольшими проектами как младший дизайнер. Основные программы, в котор..."
Архитектор- дизайнер,40 000 руб.,Город не указан,Архитектурное проектирование АР;ГП. ________________________________________________________________ Interior Design; Vizualizations. _______________________________________________________________ РД...
Графический дизайнер,30 000 руб.,Город не указан,"Меня зовут Елизавета. По образованию я дизайнер среды(интерьера), также занимаюсь графическим дизайном и рисую портреты на заказ(создаю их на графическом планшете) С самого детства меня привлекало тво..."
Веб дизайнер,40 000 руб.,Город не указан,"Обо мне: • У меня есть 3 года опыта работы на фрилансе Есть вкус, видение эстетики и понимание UX/UI Умею: • Создавать макеты новых страниц и лендингов в редакторе Figma с дальнейшим переносом на Tild..."
UX/UI дизайнер,40 000 руб.,Город не указан,UX/UI дизайнер \ frontend developer: Опыт работы 4 года   UX \UI design Организация рабочего процесса отдела дизайнеров так же полное участие в процессе создания интерфейсов документации и дизайна Авг...
Веб-дизайнер,15 000 руб.,Город не указан,"Обо мне:  Меня зовут Екатерина, я начинающий веб-дизайнер. Мне 22 года, я молодой и креативный специалист, который не пренебрегает различными подходами к работе, тестирует новые идеи и всегда следит з..."
Графический дизайнер,11 000 руб.,Город не указан,"Растровая и векторная иллюстрация, обработка изображений, разработка макетов полиграфической продукции — визиток, листовок, брошюр и др., оформление сувенирной продукции (футболок, кружек, бейсболок и..."
"Дизайнер презентаций,макетов ,листовок и тд.",5 000 руб.,Город не указан,"Предлагаю себя на вакансию дизайнер презентаций. Смогу выполнить работу в любом формате. Умею работать не только над презентациями, также делаю макеты,листовки,шаблоны и многое другое. Имею опыт работ..."
Веб-дизайнер,10 000 руб.,Город не указан,"Умею работать с конструктором Тильда в zero и стандартных блоках, в графических редакторах Figma и Canva. Создаю посадочные страницы, сайты-визитки, презентации. Ответственный, внимательный и легко об..."
UX/UI дизайнер,40 000 руб.,Город не указан,"Окончил 9-месячные курсы по Frontend-разработке, понимаю азы вёрстки и веб-программирования (HTML, CSS, базовый JavaScript). Сейчас занимаюсь дизайном лендингов и сайтов разной сложности. Отлично знаю..."
UI/UX Дизайнер,50 000 руб.,Город не указан,"Добрый день, меня зовут Ксения, я UI/UX дизайнер из Минска.  Навыки: исследование и проектирование интерфейсов, дизайн интерфейсов, прототипирование, веб-дизайн, адаптивный дизайн, маркетинговая анали..."
UI/UX Дизайнер,15 000 руб.,Город не указан,"Я начинающий веб-дизайнер. Основная используемая программа figma. Обучался на спец курсе profit-school, но поступление в университет вынудило меня оставить эти курсы. На данный момент я перешел на зао..."
Графический дизайнер,50 000 руб.,Город не указан,"Меня зовут Мария, я графический дизайнер"
"Удалённая работа, менеджер, работник колл-центра, дизайн.",15 000 руб.,Город не указан,"Ищю удалённую работу, учусь на заочке, много свободного времени. Могу работать 5/2, 6/1, 7/0. Опыт полгода в колл-центре, ушла по семейным обстоятельствам. Интересен дизайн и менеджмент."
Веб-дизайнер,30 000 руб.,Город не указан,"О себе:  Меня зовут Кирилл, мне 21 год, живу в прекрасном городе Санкт-Петербург, заканчиваю работу вовремя и не захожу за рамки дедлайна, постоянно совершенствуюсь, ни один день не проходит без просм..."
Видеомонтажер \ ретушер \ саунддизайнер,50 000 руб.,Город не указан,"Занимаюсь созданием фото и видео контента с 2013 года. Съемка и создание рекламных, музыкальных клипов, фотосъемка проектов, ретушь - основное направление. Отличное знание программ:  Premiere Pro Afte..."
Веб-дизайнер,10 000 руб.,Город не указан,Дизайн и создание сайтов на Figma и Tilda.
Дизайнер,30 000 руб.,Город не указан,"Стаж более 5 лет Умение работать в - Photoshop,  - Illustrator,  - Corel Drew, - Affter Effects (частично)"
Дизайнер,60 000 руб.,Город не указан,- Дизайн карточек товаров для Wildberries - разработка и сборка мудбордов; - создание вижуалов в соцсети по готовым контент-планам и установленным в брендбуках правилам; - создание вижуалов для таргет...
Графический дизайнер,30 000 руб.,Город не указан,"Имею опыт работы в полиграфии на должности дизайнера. В обязанности входило создание макетов и связь с клиентами. Больше года работаю на фрилансе, занимаюсь созданием логотипов, фирменного стиля. Имею..."
Web дизайнер,40 000 руб.,Город не указан,"Меня зовут Алексей. Я графический/веб-дизайнер, занимаюсь созданием и упаковкой дизайна, разработкой/вёрсткой сайтов. Созданием фирменного стиля, логотипов, баннеров, иллюстраций, инфографики, гайдов..."
"Дизайнер, визуализатор",10 000 руб.,Город не указан,"Студентка. Владею программами:  AutoCAD, 3D Max (Corona render), PhotoShop, Illustrator, CorelDRAW. Личные качества: ответственность, исполнительность, аккуратность, креативность. Опыт работы невелик,..."
Веб-дизайнер удаленно (без опыта работы),10 000 руб.,Город не указан,"Интересует работа веб-дизайнера, графического дизайнера, оформляю сайты, макеты, делаю логотипы,  визитки, мокапы, лэндинг.  Владею навыками в требуемых программах таких как - Adobe photoshop, InDesig..."
Дизайнер,3 000 руб.,Город не указан,"Образование высшее художественное. Свободно владею InDesign, Photoshop, Corel Draw, Figma, Power Point, Moveavi/Premiere Pro, Krita…  Большой опыт работы по созданию баннеров для веб (статика/анимация..."
Графический дизайнер (помощник),10 000 руб.,Город не указан,"Здравствуйте. Мне 58 лет. Всю жизнь занимался комп. графикой. Фотошоп, Корел, 3d. Работал в типографиях и редакциях.  Имею понятия верстки, макетирования и наружной рекламы. Но у меня был перерыв неск..."
Дизайнер,60 000 руб.,Город не указан,"Работаю с инофграфикой, отчетами, графиками, диаграммами. Мой опыт работы с презнтациями (отчетами и обучающими материалами) - более 2 лет. Знаю как обработать данные так, что бы они выглядели читабел..."
Веб дизайнер,3 000 руб.,Город не указан,"Здравствуйте. Меня зовут Анжела, я начинающий веб-дизайнер, проживаю в г.Тюмени.  Готова работать много и усердно за минимальную оплату(в том числе удаленно). Во вложении Анкета с hh.ru. Ссылка на мое..."
Junior дизайнер ui/ux,35 000 руб.,Город не указан,"В конце 2020 года я закончил в Нетологии курсы по специальностям UX-дизайнер и UI-дизайнер. С марта 2021 года работаю дизайнером интерфейсов в компании ZEL-Услуги, занимаюсь разработкой дизайна програ..."
Дизайнер,25 000 руб.,Город не указан,"Среднее профессиональное образование. Окончил художественную школу и освоил графические редакторы, такие как Figma, Photoshop, Illustrator. Также занял первое место в творческом конкурсе рисунков ""Я,..."
Графический дизайнер,50 000 руб.,Город не указан,Опыт работы						  1993-1995 г.г. – ООО “Авгур” 								  Оформитель-дизайнер 								  1997-2003г.г. ООО “Авгур” 								  Восстановлен на прежней должности в 								  связи с возвращением из армии...
Дизайнер интерьера,80 000 руб.,Город не указан,"Создаем проекты удаленно www/ant-interior.ru Идея и визуализация Разработка архитектурных проектов, архитектурной 3D анимации и презентации. Жилые помещения Создание дизайнерских проектов квартир, дом..."
"UI/UX дизайнер, Web дизайнер",40 000 руб.,Город не указан,"Опыт Апрель 2021 - 2022 Обучение (стажировка) в студии UPROCK (обучение максимально приближено к стажировке в студии. Куратор выполняет роль арт-директора, направляет, объясняет проблемы) Ноябрь 2021..."
Дизайнер,70 000 руб.,Город не указан,"Знаю: как разработать функциональные, графические интерфейсы для web или mobile, создавать и поддерживать дизайн-системы, взаимодействовать с продакт-менеджерами и командой разработчиков для внедрения..."
Дизайнер,30 000 руб.,Город не указан,"Обо мне: На данный момент учусь на художника мультипликатора в Universal University - МШК. А так же прохожу обучение у Nioly курс ""Дизайнерята"" - на данный момент я хорошо владею Figma и прохожу обуче..."
Дизайнер,30 000 руб.,Город не указан,"Здравствуйте, я - Светлана. Ищу работу/подработку.   Опыт работы более 8 лет - Около 7 лет работала на производстве дизайнером по витражам и пескоструйным рисункам. Обязанности на рабочем месте: Созда..."
Веб дизайнер (UX/UI),50 000 руб.,Город не указан,"Я парень 24 лет, у которого есть мечта, быть лучший дизайнером, работать удаленно и исследовать каждый уголок интернет пространства для изучения и подпитки новой информации, поиска вдохновения. Я счит..."
Дизайнер карточек товаров для маркетплейсов OZON и wilderness,3 000 руб.,Город не указан,Инфoгpaфика для маpкeтплейсов Wildbеrriеs OZON У селлеров на маркетплейсах есть вопрос: как продать свой товар среди бездны таких же предложений с одинаковыми ценами? Один из рабочих вариантов - сдела...
Графический дизайнер,30 000 руб.,Город не указан,"Сделаю для вас полиграфические работы в программе Figma Ответственный, выполняю сроки, дотошен в работе."
Архитектурный Дизайнер Ищет удаленную работу,80 000 руб.,Город не указан,"Фрилансер-Архитектурный Дизайнер, исполнитель ищет удаленную работу, Я проживаю в Азербайджане в городе Баку, ищу заказчиков в загранице для сотрудничество с целю работать удаленно. О себе: Дизайнер с..."
Художник-дизайнер,40 000 руб.,Город не указан,"Меня зовут Ольга, дизайнер без опыта работы. Знаю Фотошоп, иллюстратор, есть опыт ретуширования фотографий."
Веб дизайнер,40 000 руб.,Город не указан,"Всем привет меня зовут Денис и мне 27 лет. Я дизайнер, специализируюсь на web design и UX/UI. Владею фотосъемкой, видеомонтаж. Я коммуникабельный и готов к сотрудничеству. Имею профильное образование..."
"Моущен дизайнер, видеомонтажер",70 000 руб.,Город не указан,"Мое имя Александр, я занят в сфере видео производства. Мой опыт работы видеомонтажером более 3-х лет, опыт работы моушен дизайнером более года. Я считаю, что обладаю следующими качествами и квалификац..."
